ID,AAC_A,AAC_C,AAC_D,AAC_E,AAC_F,AAC_G,AAC_H,AAC_I,AAC_K,AAC_L,AAC_M,AAC_N,AAC_P,AAC_Q,AAC_R,AAC_S,AAC_T,AAC_V,AAC_W,AAC_Y
,,,,,,,,,,,,,,,,,,,,
N2726,11.98,1.56,5.21,6.25,3.65,11.46,1.56,0.52,6.25,4.17,2.08,2.6,9.38,8.33,2.6,7.81,5.21,5.21,1.56,2.6
,,,,,,,,,,,,,,,,,,,,
N2728,8.94,0.43,5.96,8.51,1.7,7.66,2.98,7.23,6.81,8.09,2.55,3.83,4.68,2.13,7.23,5.53,3.4,7.23,1.28,3.83
,,,,,,,,,,,,,,,,,,,,
N2730,5.88,0,6.67,4.31,5.49,10.59,4.71,4.31,5.88,6.27,2.35,2.75,5.49,4.71,5.1,5.1,5.1,9.8,2.35,3.14
,,,,,,,,,,,,,,,,,,,,
N2732,8.55,1.32,5.92,5.92,1.97,7.89,0.66,6.58,4.61,7.89,5.26,3.95,7.89,1.32,8.55,3.95,5.26,5.26,2.63,4.61
,,,,,,,,,,,,,,,,,,,,
N2734,10.16,2.34,7.81,5.47,6.25,7.03,0.78,7.81,7.03,8.59,0.78,5.47,3.12,5.47,3.12,5.47,4.69,6.25,0,2.34
,,,,,,,,,,,,,,,,,,,,
N2736,11.25,3.33,7.5,2.5,5.83,5.83,1.67,3.33,7.92,8.33,1.25,5,2.92,2.08,5.42,6.67,6.25,8.33,1.67,2.92
,,,,,,,,,,,,,,,,,,,,
N2738,10.29,0.32,3.05,5.79,5.31,5.14,2.25,3.86,3.7,9.16,3.22,3.05,5.63,5.47,5.95,5.63,6.75,9.16,1.13,5.14
,,,,,,,,,,,,,,,,,,,,
N2740,10.19,0,0,4.63,9.26,6.48,2.78,8.8,4.17,15.74,3.24,4.17,5.09,0.93,2.78,3.24,3.24,10.65,0,4.63
,,,,,,,,,,,,,,,,,,,,
N2742,6.77,0,5.21,10.94,5.21,7.29,1.56,6.77,10.42,4.69,2.6,3.12,4.69,4.17,3.12,1.56,6.77,9.9,0,5.21
,,,,,,,,,,,,,,,,,,,,
N2744,5.67,0,5.67,8.84,4.31,5.44,0.45,7.48,7.48,9.75,2.04,7.71,1.81,5.22,2.49,9.52,5.22,6.58,0.23,4.08
,,,,,,,,,,,,,,,,,,,,
N2746,8.33,3.03,9.09,8.33,0.76,2.27,3.79,3.79,6.82,9.85,4.55,3.03,3.03,3.03,5.3,9.09,3.79,4.55,3.03,4.55
,,,,,,,,,,,,,,,,,,,,
N2748,12.28,0.73,3.95,2.63,2.63,10.09,2.49,5.12,1.17,12.43,3.36,2.92,5.56,2.49,6.58,5.85,6.87,8.48,1.9,2.49
,,,,,,,,,,,,,,,,,,,,
N2750,14.81,1.3,7.79,3.9,2.6,8.05,4.68,3.38,0.52,9.09,1.04,1.04,6.49,1.82,5.97,7.79,4.16,12.73,1.56,1.3
,,,,,,,,,,,,,,,,,,,,
N2752,10.38,1.73,4.15,4.84,3.11,12.8,1.04,4.84,3.11,9.34,2.77,2.77,5.54,5.54,7.96,7.27,4.84,5.54,0.69,1.73
,,,,,,,,,,,,,,,,,,,,
N2754,2.68,2.38,8.04,4.32,2.23,3.42,2.83,9.82,6.1,10.57,2.68,8.33,2.38,1.49,6.99,7.44,4.46,6.25,0.45,7.14
,,,,,,,,,,,,,,,,,,,,
N2756,7.57,4.32,8.65,3.24,0.54,12.43,0.54,3.24,2.16,10.81,1.62,3.78,2.7,2.16,1.62,12.43,9.19,11.89,0.54,0.54
,,,,,,,,,,,,,,,,,,,,
N2758,10.45,0,10.45,5.97,13.43,2.99,0,5.97,5.97,2.99,1.49,5.97,1.49,0,5.97,8.96,5.97,5.97,2.99,2.99
,,,,,,,,,,,,,,,,,,,,
N2760,6.45,1.53,4.81,5.27,6.96,6.04,1.89,7.77,4.14,8.59,2.3,4.6,4.96,3.43,6.19,7.26,4.86,5.27,1.89,5.78
,,,,,,,,,,,,,,,,,,,,
N2762,6.16,0.72,6.52,1.45,3.62,6.16,0.36,4.35,3.99,8.7,1.09,3.99,6.88,5.07,3.62,9.42,12.32,6.88,1.81,6.88
,,,,,,,,,,,,,,,,,,,,
N2764,5.29,2.48,5.83,3.89,6.48,3.89,2.48,7.13,4,9.29,2.59,6.26,4.21,3.56,4.1,10.8,5.51,5.83,1.4,4.97
,,,,,,,,,,,,,,,,,,,,
N2766,9.05,2.26,2.26,3.17,7.69,5.88,0.45,6.79,6.79,14.03,2.71,5.88,4.52,2.71,2.71,6.79,4.07,5.43,0.45,6.33
,,,,,,,,,,,,,,,,,,,,
N2768,4.35,0.87,3.48,4.64,7.25,6.67,2.32,7.54,6.38,10.43,0.87,4.93,6.38,2.03,5.22,8.41,4.06,7.25,2.61,4.35
,,,,,,,,,,,,,,,,,,,,
N2770,5.02,1.88,6.27,5.49,6.11,6.58,2.66,4.7,6.58,9.72,1.41,7.21,4.08,2.82,3.13,9.72,6.27,5.17,0.94,4.23
,,,,,,,,,,,,,,,,,,,,
N2772,7.1,2.82,4.83,6.17,4.02,1.74,2.01,8.58,6.3,14.75,1.47,5.63,3.89,4.96,4.16,8.45,5.9,4.16,0.67,2.41
,,,,,,,,,,,,,,,,,,,,
N2774,8.21,0.84,4.44,12.06,1.26,6.78,1.84,2.18,5.36,13.4,2.76,2.93,5.28,4.94,8.71,8.88,4.52,3.27,1.17,1.17
,,,,,,,,,,,,,,,,,,,,
N2776,6.94,1.54,3.86,5.89,4.42,6.66,3.93,3.02,3.58,10.94,1.4,2.17,7.85,5.96,6.66,8.49,5.19,8.98,0.98,1.54
,,,,,,,,,,,,,,,,,,,,
N2778,10.03,2.8,6.9,7.87,3.56,5.83,2.27,3.34,3.78,10.36,1.94,3.56,6.9,4.53,5.39,7.44,5.83,6.04,1.08,0.54
,,,,,,,,,,,,,,,,,,,,
N2780,9.38,3.75,6.88,10,1.25,3.75,2.5,4.38,1.88,11.88,2.5,4.38,2.5,6.88,4.38,5,6.25,9.38,1.25,1.88
,,,,,,,,,,,,,,,,,,,,
N2782,8.73,0.86,7.19,9.25,2.23,8.39,1.03,1.88,10.62,5.31,1.37,3.94,8.05,5.48,2.05,9.93,7.02,6.16,0.34,0.17
,,,,,,,,,,,,,,,,,,,,
N2784,4.79,2.05,7.53,18.49,0.68,8.22,0.68,1.37,3.42,5.48,2.05,1.37,10.96,8.9,6.16,7.53,4.11,4.79,0,1.37
,,,,,,,,,,,,,,,,,,,,
N2786,3.82,1.91,3.18,1.91,5.73,7.01,4.46,4.46,3.82,7.01,4.46,2.55,4.46,3.18,8.92,9.55,5.1,8.28,5.1,5.1
,,,,,,,,,,,,,,,,,,,,
N2788,5.71,4.29,6.86,7.43,7.43,5.71,0.57,6,6.29,6.29,1.71,4.86,4.29,4.86,5.14,6.86,4.57,7.71,1.14,2.29
,,,,,,,,,,,,,,,,,,,,
N2790,10.47,2.74,5.99,8.98,5.74,3.99,2.74,2.49,5.24,11.47,2.24,3.24,4.74,3.99,6.73,4.99,2.49,4.24,0.75,6.73
,,,,,,,,,,,,,,,,,,,,
N2792,7.94,2.53,7.22,6.86,3.61,6.14,1.81,3.61,5.05,10.83,2.53,4.69,4.69,4.33,7.58,5.42,4.69,8.66,0.72,1.08
,,,,,,,,,,,,,,,,,,,,
N2794,8.28,4.97,3.97,7.95,3.31,8.61,4.97,3.97,4.64,8.61,1.66,3.31,4.97,5.96,6.95,7.28,4.3,4.64,0.66,0.99
,,,,,,,,,,,,,,,,,,,,
N2796,7.31,1.54,6.15,5.77,5,5,1.54,5,8.85,13.46,2.31,4.62,3.85,3.46,3.08,7.31,6.15,5.77,1.92,1.92
,,,,,,,,,,,,,,,,,,,,
N2798,13.91,0,6.62,3.31,5.3,7.95,1.32,4.64,9.93,11.92,1.99,9.27,2.65,5.3,0.66,6.62,1.32,5.3,1.99,0
,,,,,,,,,,,,,,,,,,,,
N2800,7.53,6.85,0.68,10.27,4.79,4.79,1.37,4.11,6.16,10.96,2.05,1.37,4.11,2.74,8.22,8.22,5.48,7.53,2.05,0.68
,,,,,,,,,,,,,,,,,,,,
N2802,12.12,4.55,3.79,4.55,0.76,9.09,7.58,1.52,0.76,16.67,1.52,0.76,9.09,3.79,9.85,3.79,3.03,4.55,2.27,0
,,,,,,,,,,,,,,,,,,,,
N2804,2.41,4.22,0.6,2.41,8.43,12.65,0,4.22,1.2,17.47,3.01,1.81,1.2,0.6,2.41,7.83,1.2,20.48,2.41,5.42
,,,,,,,,,,,,,,,,,,,,
N2806,6.74,1.96,7.61,3.26,5.43,11.52,0.65,5.87,4.35,5.65,1.52,8.48,3.26,2.83,1.3,12.39,6.74,5,1.09,4.35
,,,,,,,,,,,,,,,,,,,,
N2808,10.04,1.75,3.71,5.9,5.02,7.42,1.75,2.62,6.55,8.73,2.62,5.02,3.28,1.31,5.24,11.79,5.46,8.95,0.87,1.97
,,,,,,,,,,,,,,,,,,,,
N2810,8.18,2.73,0,2.73,11.82,7.27,1.82,4.55,1.82,16.36,3.64,3.64,0.91,1.82,2.73,5.45,10,6.36,3.64,4.55
,,,,,,,,,,,,,,,,,,,,
N2812,4.51,2.09,6.04,8.24,5.05,5.82,1.54,3.96,7.69,9.23,1.54,3.85,3.3,3.63,4.62,11.21,5.93,6.26,1.54,3.96
,,,,,,,,,,,,,,,,,,,,
N2814,14.68,7.34,0.92,1.83,0.92,12.84,0,1.83,1.83,14.68,0.92,0.92,11.93,5.5,3.67,6.42,6.42,6.42,0,0.92
,,,,,,,,,,,,,,,,,,,,
N2816,11.3,2.54,2.26,4.8,4.52,10.17,3.67,5.08,2.54,9.32,1.41,2.82,4.8,3.95,11.3,7.63,4.24,5.65,1.13,0.85
,,,,,,,,,,,,,,,,,,,,
N2818,11.36,3.3,3.48,3.85,7.51,7.69,1.65,3.11,2.56,11.17,0.73,2.2,4.95,2.93,6.78,6.04,2.2,9.71,4.21,4.58
,,,,,,,,,,,,,,,,,,,,
N2820,9.76,0.95,3.81,4.29,6.43,7.62,1.67,4.52,1.19,12.38,2.62,0.48,3.1,3.81,5.95,8.33,6.43,12.62,0.95,3.1
,,,,,,,,,,,,,,,,,,,,
N2822,9.49,2.57,3.38,5.47,4.66,6.91,2.41,5.14,1.77,13.02,2.41,3.05,3.86,3.54,7.56,5.63,3.54,11.41,1.77,2.41
,,,,,,,,,,,,,,,,,,,,
N2824,7.94,2.23,2.48,2.98,11.17,6.2,3.23,6.7,3.97,15.14,2.98,1.24,2.98,2.98,4.71,6.95,6.45,6.95,0.74,1.99
,,,,,,,,,,,,,,,,,,,,
N2826,16.21,2.76,4.83,8.28,3.1,5.86,2.76,3.1,6.21,8.97,2.41,1.38,2.07,4.14,7.59,4.14,3.1,10,0,3.1
,,,,,,,,,,,,,,,,,,,,
N2828,10.94,0.28,7.06,6.65,2.91,7.48,2.63,3.88,5.4,9.42,0.97,4.99,4.16,3.88,6.79,7.89,6.37,5.96,0.14,2.22
,,,,,,,,,,,,,,,,,,,,
N2830,6.21,3.77,3.77,4.21,7.1,5.76,2,6.43,4.43,14.63,1.77,1.11,2.88,3.1,5.32,8.87,4.21,8.2,2.44,3.77
,,,,,,,,,,,,,,,,,,,,
N2832,4.18,0.76,2.66,10.27,4.56,3.8,1.9,4.18,8.37,15.97,0.76,4.94,3.42,6.84,7.6,7.6,6.08,2.66,0.38,3.04
,,,,,,,,,,,,,,,,,,,,
N2834,4.73,1.78,6.51,4.73,5.92,6.51,2.96,9.47,5.92,11.83,1.78,6.51,3.55,4.14,5.33,4.73,3.55,4.14,1.78,4.14
,,,,,,,,,,,,,,,,,,,,
N2836,1.45,0,1.45,2.9,7.25,8.7,1.45,13.04,5.8,17.39,1.45,2.9,1.45,1.45,2.9,13.04,2.9,7.25,2.9,4.35
,,,,,,,,,,,,,,,,,,,,
N2838,8.14,3.49,2.33,3.49,2.33,11.63,0,4.65,6.98,3.49,4.65,4.65,2.33,2.33,2.33,13.95,9.3,10.47,1.16,2.33
,,,,,,,,,,,,,,,,,,,,
N2840,9.65,1.32,6.58,5.26,2.19,13.6,3.07,4.82,4.82,7.46,3.51,5.26,3.07,2.19,4.39,6.58,2.63,10.09,0,3.51
,,,,,,,,,,,,,,,,,,,,
N2842,13.14,1.02,2.19,1.31,3.65,9.64,1.17,5.84,0.88,18.54,4.67,1.31,4.82,3.21,6.13,5.84,5.69,6.86,3.21,0.88
,,,,,,,,,,,,,,,,,,,,
N2844,16.32,1.04,4.86,6.94,2.43,6.94,4.17,3.47,1.04,10.07,2.78,0.69,3.82,4.17,7.29,7.99,4.86,9.03,0.69,1.39
,,,,,,,,,,,,,,,,,,,,
N2846,4.89,2.64,5.28,8.19,2.38,4.76,1.72,3.83,6.08,12.95,2.91,4.36,4.36,7.66,6.34,7,5.02,5.94,1.98,1.72
,,,,,,,,,,,,,,,,,,,,
N2848,2.99,0.6,7.37,5.78,3.59,6.97,1.79,6.57,5.18,9.76,2.39,9.56,3.98,4.38,3.39,9.56,5.38,5.18,0.6,4.98
,,,,,,,,,,,,,,,,,,,,
N2850,2.43,1.08,6.47,7.01,4.58,2.96,2.43,8.09,9.7,13.21,1.89,9.16,2.43,7.01,3.5,3.5,3.77,4.04,2.43,4.31
,,,,,,,,,,,,,,,,,,,,
N2852,7.41,0.65,4.58,3.92,6.1,7.19,2.83,4.36,7.84,7.84,1.96,4.36,5.01,3.27,4.58,8.5,5.88,7.19,1.53,5.01
,,,,,,,,,,,,,,,,,,,,
N2854,8.51,0,3.19,5.32,1.06,2.13,3.19,4.26,3.19,9.57,7.45,3.19,4.26,7.45,8.51,18.09,4.26,6.38,0,0
,,,,,,,,,,,,,,,,,,,,
N2856,7.98,1.6,6.19,8.78,4.39,3.19,2.99,4.39,4.79,12.18,1.6,5.39,3.19,5.59,4.39,7.78,5.59,5.39,1.2,3.39
,,,,,,,,,,,,,,,,,,,,
N2858,10.5,1.37,6.39,7.76,3.65,9.59,2.28,3.65,11.87,4.57,0.91,1.37,4.11,2.28,6.85,8.68,5.94,6.39,0.46,1.37
,,,,,,,,,,,,,,,,,,,,
N2860,5.15,2.66,4.7,7.64,4.47,3.62,2.04,5.38,7.59,14.5,1.98,3.91,4.25,3.91,3.34,9.51,5.38,5.61,1.7,2.66
,,,,,,,,,,,,,,,,,,,,
N2862,8.3,3.01,4.11,8.39,3.65,7.12,2.37,4.47,6.02,7.48,1.82,2.28,8.49,3.92,5.93,7.39,5.2,5.11,1.64,3.28
,,,,,,,,,,,,,,,,,,,,
N2864,7.05,3.39,3.24,3.24,5.64,8.18,2.26,5.22,3.95,12.13,2.68,2.68,6.91,3.95,4.09,9.31,4.94,8.18,0.85,2.12
,,,,,,,,,,,,,,,,,,,,
N2866,5.77,2.94,5.77,6.53,3.48,6.96,3.16,4.24,5.22,10.45,2.39,4.35,5.01,5.77,4.24,9.58,5.22,5.33,0.98,2.61
,,,,,,,,,,,,,,,,,,,,
N2868,5.81,2.24,6.22,10.5,3.67,6.42,3.77,4.59,4.99,7.85,1.63,3.57,5.2,3.77,4.08,7.03,6.42,8.26,1.22,2.75
,,,,,,,,,,,,,,,,,,,,
N2870,5.74,2.35,5.22,3.13,4.18,9.92,2.35,4.44,8.36,8.09,1.83,2.87,6.01,5.22,5.22,7.31,4.7,5.48,2.09,5.48
,,,,,,,,,,,,,,,,,,,,
N2872,11.76,0.74,5.15,6.62,1.47,7.35,2.21,2.94,3.68,12.5,1.47,5.15,5.15,5.15,10.29,5.15,2.94,8.82,0,1.47
,,,,,,,,,,,,,,,,,,,,
N2874,8.85,1.26,3.79,6.07,4.8,6.83,4.42,3.29,3.41,12.64,2.15,2.53,5.82,6.57,5.94,7.46,2.91,6.45,1.77,3.03
,,,,,,,,,,,,,,,,,,,,
N2876,9.38,3.12,3.41,7.1,4.83,5.11,2.84,3.98,5.4,11.93,1.42,1.7,4.55,6.53,5.11,9.09,5.11,3.98,1.99,3.41
,,,,,,,,,,,,,,,,,,,,
N2878,9.66,2.09,5.8,8.05,4.19,7.09,3.38,2.9,5.64,12.08,2.42,1.93,4.51,4.03,5.48,5.64,4.67,7.09,0.48,2.9
,,,,,,,,,,,,,,,,,,,,
N2880,8.06,1.42,4.74,10.43,1.9,3.79,2.37,6.16,6.64,11.37,2.84,5.69,1.42,6.64,7.58,9.95,3.79,4.74,0,0.47
,,,,,,,,,,,,,,,,,,,,
N2882,12.2,2.22,4.44,7.95,3.51,7.39,1.11,3.33,3.51,12.01,1.85,2.59,5.18,4.62,7.39,5.36,4.81,7.76,0.74,2.03
,,,,,,,,,,,,,,,,,,,,
N2884,4.76,3.81,3.81,12.38,5.71,7.62,2.86,2.86,9.52,6.67,5.71,3.81,1.9,0.95,2.86,5.71,6.67,7.62,1.9,2.86
,,,,,,,,,,,,,,,,,,,,
N2886,8.21,1.49,5.97,13.43,3.73,2.24,3.73,7.46,10.45,14.18,1.49,4.48,0.75,8.21,3.73,2.24,2.99,3.73,0,1.49
,,,,,,,,,,,,,,,,,,,,
N2888,3.78,0.92,6.18,6.64,5.07,3.5,2.12,6.36,9.59,9.86,2.49,10.32,3.04,2.58,3.23,7.28,5.25,5.53,0.65,5.62
,,,,,,,,,,,,,,,,,,,,
N2890,8.57,1.43,2.86,10,2.86,4.29,2.86,2.86,5.71,11.43,4.29,5.71,0,10,5.71,10,2.86,4.29,1.43,2.86
,,,,,,,,,,,,,,,,,,,,
N2892,0.67,1.34,0.67,1.34,9.4,1.34,0.67,18.12,6.04,15.44,12.75,5.37,2.68,1.34,0,11.41,3.36,3.36,0.67,4.03
,,,,,,,,,,,,,,,,,,,,
N2894,17.31,1.92,4.81,4.81,1.92,8.65,0.96,2.88,8.65,9.62,2.88,2.88,6.73,5.77,0.96,3.85,3.85,6.73,2.88,1.92
,,,,,,,,,,,,,,,,,,,,
N2896,7.47,1.93,5.3,7.95,4.34,6.02,3.13,6.27,2.89,10.12,2.65,3.13,7.23,5.54,6.27,5.78,4.82,5.78,1.2,2.17
,,,,,,,,,,,,,,,,,,,,
N2898,13.42,2.01,5.37,4.03,2.68,8.05,3.36,2.68,9.4,8.05,5.37,3.36,2.01,3.36,0.67,6.04,6.71,9.4,1.34,2.68
,,,,,,,,,,,,,,,,,,,,
N2900,3.07,2.15,7.06,6.13,7.06,5.21,2.15,7.06,10.74,8.59,0.61,8.59,3.37,1.53,3.99,7.06,2.76,5.83,0.61,6.44
,,,,,,,,,,,,,,,,,,,,
N2902,7.94,0.71,4.94,6.53,3.35,8.29,3,6.35,7.05,7.23,1.59,5.29,4.06,2.82,3.17,9.52,5.29,8.64,0.88,3.35
,,,,,,,,,,,,,,,,,,,,
N2904,13.72,2.21,4.87,6.64,3.1,9.29,0.44,8.41,3.1,9.29,3.54,2.65,6.19,2.21,6.19,4.42,4.87,6.19,1.33,1.33
,,,,,,,,,,,,,,,,,,,,
N2906,5.1,1.18,6.67,10.98,2.75,9.41,2.75,1.96,5.1,10.59,1.57,0.78,9.02,6.67,9.02,4.71,3.14,3.92,4.31,0.39
,,,,,,,,,,,,,,,,,,,,
N2908,7.12,2.62,5.62,9.36,3.37,11.24,1.5,1.12,7.12,7.87,2.62,2.62,8.24,3,8.24,8.61,3,3,1.5,2.25
,,,,,,,,,,,,,,,,,,,,
N2910,7.69,0,6.92,6.92,5.38,5.38,3.08,5.38,7.69,8.46,3.85,2.31,3.08,6.15,7.69,8.46,1.54,5.38,1.54,3.08
,,,,,,,,,,,,,,,,,,,,
N2912,10.19,0.93,7.41,6.48,3.7,7.41,5.56,1.85,1.85,10.19,2.78,3.7,0.93,3.7,10.19,6.48,4.63,8.33,1.85,1.85
,,,,,,,,,,,,,,,,,,,,
N2914,4.7,0.31,5.33,5.33,3.45,6.9,0.94,8.15,5.33,9.4,0.94,9.09,2.82,3.45,2.19,11.6,6.9,6.27,1.25,5.64
,,,,,,,,,,,,,,,,,,,,
N2916,4.93,2.11,9.86,2.82,7.75,1.41,0,4.23,6.34,9.15,2.11,8.45,4.23,3.52,2.82,14.79,5.63,7.04,1.41,1.41
,,,,,,,,,,,,,,,,,,,,
N2918,3.96,2.56,4.66,5.59,3.5,3.26,3.26,5.59,6.53,7.93,1.17,3.96,6.53,4.2,4.9,10.72,10.49,6.06,2.1,3.03
,,,,,,,,,,,,,,,,,,,,
N2920,2.27,24.24,1.52,1.52,2.27,4.55,0,1.52,0,2.27,0,0,13.64,5.3,10.61,9.85,11.36,6.82,0.76,1.52
,,,,,,,,,,,,,,,,,,,,
N2922,9.43,0.94,3.77,5.66,1.89,2.83,0.94,8.49,5.66,12.26,1.89,3.77,2.83,3.77,6.6,5.66,6.6,11.32,0.94,4.72
,,,,,,,,,,,,,,,,,,,,
N2924,4.27,1.5,5.77,7.39,3.35,11.2,2.19,3,4.97,5.66,1.73,5.2,4.73,3.46,6.24,12.36,6.81,5.2,2.19,2.77
,,,,,,,,,,,,,,,,,,,,
N2926,7.56,5.88,3.36,5.04,3.36,9.24,2.52,2.52,1.68,13.45,0.84,0,9.24,3.36,10.08,7.56,2.52,6.72,4.2,0.84
,,,,,,,,,,,,,,,,,,,,
N2928,5.56,0,6.48,6.48,7.41,4.63,0,4.63,8.33,7.41,2.78,3.7,5.56,7.41,7.41,6.48,4.63,7.41,0.93,2.78
,,,,,,,,,,,,,,,,,,,,
N2930,5.1,6.12,0,6.12,2.04,3.06,0,11.22,10.2,10.2,2.04,5.1,7.14,4.08,7.14,10.2,5.1,5.1,0,0
,,,,,,,,,,,,,,,,,,,,
N2932,5.36,5.36,3.57,8.93,4.46,4.46,0,6.25,5.36,14.29,3.57,5.36,3.57,4.46,5.36,3.57,4.46,8.04,1.79,1.79
,,,,,,,,,,,,,,,,,,,,
N2934,4.84,0,1.61,4.84,9.68,8.06,0,4.84,3.23,8.06,4.84,0,11.29,11.29,4.84,4.84,1.61,4.84,0,11.29
,,,,,,,,,,,,,,,,,,,,
N2936,5.19,3.9,3.9,3.9,3.9,1.3,1.3,10.39,6.49,9.09,2.6,5.19,11.69,1.3,6.49,7.79,2.6,10.39,0,2.6
,,,,,,,,,,,,,,,,,,,,
N2938,7.12,2.08,4.51,3.65,3.65,7.12,1.04,7.64,1.74,8.68,1.39,7.47,5.38,5.03,6.08,7.47,7.29,6.25,2.26,4.17
,,,,,,,,,,,,,,,,,,,,
N2940,5.19,0.47,5.66,9.91,3.77,3.3,2.83,4.25,9.43,11.79,1.42,5.66,5.19,4.72,4.72,9.91,3.77,4.25,0.47,3.3
,,,,,,,,,,,,,,,,,,,,
N2942,12.17,2.66,4.56,7.79,2.09,8.17,1.9,3.23,11.41,9.13,1.71,3.42,2.47,4.37,1.33,6.27,9.89,4.18,1.14,2.09
,,,,,,,,,,,,,,,,,,,,
N2944,10.54,0.57,6.55,4.27,2.56,10.83,1.71,4.27,5.41,6.84,1.42,5.41,5.41,4.84,3.7,4.56,7.12,7.98,1.71,4.27
,,,,,,,,,,,,,,,,,,,,
N2946,5.71,0,6.86,6.86,4.57,6.86,0,5.71,7.43,6.86,1.71,9.71,6.29,3.43,2.86,7.43,5.14,9.14,0,3.43
,,,,,,,,,,,,,,,,,,,,
N2948,12.63,0,4.91,3.51,3.86,12.98,0.35,5.26,4.56,7.72,1.75,5.61,1.75,2.46,2.81,7.02,10.53,7.37,1.4,3.51
,,,,,,,,,,,,,,,,,,,,
N2950,4.26,1.6,9.57,5.85,3.19,3.72,0,7.98,13.3,7.98,2.13,4.26,3.19,3.72,2.13,8.51,8.51,5.32,0.53,4.26
,,,,,,,,,,,,,,,,,,,,
N2952,4.6,2.3,5.75,2.3,3.45,6.9,4.6,5.75,6.9,2.3,1.15,4.6,5.75,9.2,4.6,10.34,8.05,4.6,3.45,3.45
,,,,,,,,,,,,,,,,,,,,
N2954,10.81,1.35,1.35,5.41,0,5.41,2.7,8.11,4.05,6.76,4.05,6.76,4.05,4.05,9.46,5.41,4.05,9.46,4.05,2.7
,,,,,,,,,,,,,,,,,,,,
N2956,3.12,1.56,5.73,6.25,2.34,8.59,1.3,2.86,7.03,8.33,3.39,5.21,8.33,3.12,4.17,4.69,9.9,9.11,1.56,3.39
,,,,,,,,,,,,,,,,,,,,
N2958,4.87,0.81,4.87,7.3,3.25,10.75,2.23,6.69,2.43,8.11,1.01,2.23,8.32,3.85,6.09,9.13,6.69,6.49,1.22,3.65
,,,,,,,,,,,,,,,,,,,,
N2960,10.55,1.83,4.59,8.72,2.75,5.5,0.92,3.21,2.75,10.55,3.21,2.75,8.26,4.13,5.5,7.34,4.59,9.17,2.29,1.38
,,,,,,,,,,,,,,,,,,,,
N2962,7.05,3.53,1.6,2.24,5.13,6.73,1.6,6.09,3.53,19.55,5.13,2.88,3.21,1.6,4.49,6.73,8.01,6.73,1.92,2.24
,,,,,,,,,,,,,,,,,,,,
N2964,7.5,1.79,4.89,6.69,3.59,5.55,2.28,6.2,5.06,9.46,1.31,4.08,5.06,3.75,6.2,8.81,6.53,6.53,0.82,3.92
,,,,,,,,,,,,,,,,,,,,
N2966,7.16,2.22,2.22,3.46,7.41,3.21,1.73,5.93,2.96,12.1,2.72,3.21,5.43,1.73,4.69,9.14,6.17,11.85,1.98,4.69
,,,,,,,,,,,,,,,,,,,,
N2968,4.76,5.44,3.06,4.76,3.4,4.76,4.08,5.44,0.68,9.86,6.46,2.72,4.76,2.38,10.54,7.14,6.12,7.82,2.04,3.74
,,,,,,,,,,,,,,,,,,,,
N2970,6.9,2.59,6.03,10.34,4.31,6.9,5.17,9.48,0.86,16.38,3.45,3.45,0.86,1.72,6.9,1.72,2.59,7.76,0.86,1.72
,,,,,,,,,,,,,,,,,,,,
N2972,7.42,1.77,4.24,5.65,6.71,5.3,2.12,5.65,0.35,12.72,4.24,2.12,7.42,3.18,6.71,5.3,2.83,12.01,0.35,3.89
,,,,,,,,,,,,,,,,,,,,
N2974,1.75,1.75,0,7.02,7.02,1.75,7.02,8.77,1.75,22.81,5.26,0,7.02,5.26,7.02,7.02,3.51,3.51,0,1.75
,,,,,,,,,,,,,,,,,,,,
N2976,7.88,0.7,6.3,5.6,4.2,6.48,1.75,4.03,3.5,7.71,2.1,5.95,7.18,4.03,5.78,7.36,7.53,7.01,0.88,4.03
,,,,,,,,,,,,,,,,,,,,
N2978,7.13,0.72,6.71,5.06,4.65,6.61,1.55,3.62,4.03,7.75,3,7.75,6.1,4.13,4.75,6.61,6.92,5.68,1.34,5.89
,,,,,,,,,,,,,,,,,,,,
N2980,6.37,0.22,6.37,3.52,2.64,8.35,1.1,6.81,1.54,11.43,1.76,6.15,3.08,4.4,6.37,11.43,8.13,7.47,1.1,1.76
,,,,,,,,,,,,,,,,,,,,
N2982,7.36,0,3.68,5.52,3.68,2.45,0.61,6.13,0.61,9.2,0.61,7.36,4.91,4.29,7.36,11.04,12.27,7.36,0.61,4.91
,,,,,,,,,,,,,,,,,,,,
N2984,9.05,1.36,4.98,4.52,7.69,7.69,3.17,2.26,6.33,9.05,1.81,4.07,7.69,4.07,4.98,6.79,5.88,5.88,0.9,1.81
,,,,,,,,,,,,,,,,,,,,
N2986,10.13,1.69,6.75,3.38,3.38,5.49,0.84,4.22,4.22,7.17,2.11,7.59,7.59,2.95,9.7,5.91,5.06,8.86,1.69,1.27
,,,,,,,,,,,,,,,,,,,,
N2988,10.53,0,3.16,8.42,3.16,7.37,2.11,9.47,12.63,7.37,2.11,2.11,3.16,0,1.05,7.37,12.63,5.26,1.05,1.05
,,,,,,,,,,,,,,,,,,,,
N2990,10.85,0,6.15,7.06,3.79,8.8,1.59,4.63,7.21,8.5,3.72,4.63,4.02,2.43,5.61,6.22,5.92,5.69,0.68,2.5
,,,,,,,,,,,,,,,,,,,,
