ID,AAC_A,AAC_C,AAC_D,AAC_E,AAC_F,AAC_G,AAC_H,AAC_I,AAC_K,AAC_L,AAC_M,AAC_N,AAC_P,AAC_Q,AAC_R,AAC_S,AAC_T,AAC_V,AAC_W,AAC_Y
D1546,7.14,7.14,0,10.71,3.57,7.14,10.71,0,10.71,7.14,0,0,0,3.57,7.14,7.14,3.57,14.29,0,0
,,,,,,,,,,,,,,,,,,,,
D1548,14.29,0,1.79,5.36,1.79,0,5.36,5.36,8.93,1.79,1.79,7.14,1.79,0,7.14,8.93,10.71,14.29,1.79,1.79
,,,,,,,,,,,,,,,,,,,,
D1550,5.56,16.67,0,5.56,0,5.56,2.78,5.56,8.33,5.56,0,5.56,8.33,2.78,5.56,11.11,2.78,5.56,0,2.78
,,,,,,,,,,,,,,,,,,,,
D1552,7.06,3.53,3.53,2.35,8.24,7.06,3.53,4.71,4.71,5.88,1.18,5.88,4.71,7.06,7.06,7.06,8.24,4.71,1.18,2.35
,,,,,,,,,,,,,,,,,,,,
D1555,8.46,1.54,7.69,3.85,4.23,3.46,2.31,4.62,3.46,8.85,1.54,4.62,3.46,3.46,4.62,11.54,5.77,9.62,1.15,5.77
,,,,,,,,,,,,,,,,,,,,
D1561,0,8.11,0,5.41,5.41,2.7,10.81,2.7,10.81,0,0,5.41,0,0,10.81,8.11,10.81,10.81,0,8.11
,,,,,,,,,,,,,,,,,,,,
D1563,3.85,7.69,3.85,3.85,11.54,0,7.69,7.69,15.38,0,3.85,3.85,7.69,0,3.85,0,7.69,7.69,0,3.85
,,,,,,,,,,,,,,,,,,,,
D1565,0,6.25,9.38,15.62,3.12,6.25,12.5,6.25,0,3.12,0,3.12,0,9.38,6.25,9.38,3.12,3.12,3.12,0
,,,,,,,,,,,,,,,,,,,,
D1567,3.03,6.06,0,9.09,6.06,9.09,9.09,0,6.06,6.06,6.06,0,3.03,3.03,12.12,3.03,3.03,9.09,3.03,3.03
,,,,,,,,,,,,,,,,,,,,
D1569,6.42,0.92,5.5,5.5,3.67,4.59,3.67,7.34,11.01,5.5,4.59,7.34,8.26,2.75,8.26,2.75,2.75,2.75,5.5,0.92
,,,,,,,,,,,,,,,,,,,,
D1572,4.49,0,6.41,6.41,2.56,7.69,5.13,10.26,8.33,10.26,1.28,5.77,5.13,3.85,3.21,2.56,3.21,4.49,2.56,6.41
,,,,,,,,,,,,,,,,,,,,
D1576,13.86,0,0,0,0.99,1.98,2.97,0.99,20.79,3.96,0.99,2.97,3.96,0,26.73,13.86,0.99,4.95,0,0
,,,,,,,,,,,,,,,,,,,,
D1578,15.13,1.26,5.74,6.3,2.66,6.3,1.82,3.36,1.82,10.92,0.84,1.96,4.76,4.62,8.82,5.46,5.46,9.38,1.12,2.24
,,,,,,,,,,,,,,,,,,,,
D1580,10.39,0.65,6.17,7.14,4.87,6.17,1.95,5.52,3.9,13.31,4.87,3.25,2.92,2.92,7.79,4.55,4.55,6.17,0.32,2.6
,,,,,,,,,,,,,,,,,,,,
D1582,4.56,0,7.8,5.52,3.72,3.96,2.64,5.28,5.04,6.96,1.68,14.41,6,3.72,4.68,11.16,7.2,3.12,0.72,1.8
,,,,,,,,,,,,,,,,,,,,
D1584,12.07,0.57,5.17,9.2,2.3,6.9,0,10.34,7.47,5.75,2.3,3.45,4.02,3.45,7.47,4.6,6.32,6.9,1.15,0.57
,,,,,,,,,,,,,,,,,,,,
D1586,4.83,0.35,4.01,8.61,3.3,4.48,1.65,12.85,15.57,8.96,1.53,6.84,3.42,2.36,2.36,4.6,6.49,2.95,0.35,4.48
,,,,,,,,,,,,,,,,,,,,
D1588,12.13,0.33,5.9,5.9,0.66,5.57,3.28,3.93,2.3,13.44,1.97,1.97,4.92,4.26,14.75,6.23,2.62,7.54,1.31,0.98
,,,,,,,,,,,,,,,,,,,,
D1590,4.18,0.91,7.09,8.73,3.64,3.45,2.18,6.82,7.73,11.45,1.64,6.91,3.64,4.09,4.82,8,4.91,6.09,1.09,2.64
,,,,,,,,,,,,,,,,,,,,
D1592,15.17,0.93,6.19,5.26,3.41,6.81,2.79,4.02,5.88,11.15,1.24,1.55,4.64,2.48,6.5,4.64,5.88,6.5,2.17,2.79
,,,,,,,,,,,,,,,,,,,,
D1594,2.27,9.85,0.76,0.76,2.27,8.33,1.52,2.27,11.36,3.03,2.27,3.79,3.79,1.52,31.06,7.58,1.52,1.52,1.52,3.03
,,,,,,,,,,,,,,,,,,,,
D1596,2.67,3.33,4,12,2.67,2.67,5.33,9.33,10,8,2.67,4,1.33,3.33,7.33,9.33,3.33,5.33,0.67,2.67
,,,,,,,,,,,,,,,,,,,,
D1598,6.23,0.3,5.93,4.75,3.86,3.86,3.56,12.17,5.93,7.12,1.48,5.64,3.56,4.45,3.26,8.61,8.9,6.53,0,3.86
,,,,,,,,,,,,,,,,,,,,
D1600,5.6,0.7,6.07,7.93,4.32,4.67,1.98,6.18,9.68,9.45,2.92,5.25,5.02,4.67,5.83,8.98,3.27,5.25,0.93,1.28
,,,,,,,,,,,,,,,,,,,,
D1602,5.33,2.59,5.52,6.5,2.71,5.84,2.38,3.64,5.64,7.13,2.24,4.07,10.08,7.15,5.09,10.22,5.74,5.62,0.73,1.77
,,,,,,,,,,,,,,,,,,,,
D1604,6.3,1.73,5.31,6.37,1.92,4.71,2.72,4.38,5.04,9.36,1.86,4.51,6.3,12.08,2.92,11.61,6.57,4.25,0.46,1.59
,,,,,,,,,,,,,,,,,,,,
D1606,7.26,0.21,6.52,8.33,2.35,3.74,2.03,5.77,8.76,6.2,1.18,7.48,5.66,5.56,3.95,11,7.16,4.91,0.32,1.6
,,,,,,,,,,,,,,,,,,,,
D1608,8.72,2.01,3.36,8.05,3.69,5.7,1.68,2.68,5.37,11.74,1.34,3.02,9.06,5.03,6.04,6.38,6.38,6.38,0.67,2.68
,,,,,,,,,,,,,,,,,,,,
D1610,9.04,0.6,6.63,6.02,2.71,7.23,2.71,3.92,2.11,11.14,2.71,1.51,6.02,4.22,9.04,6.02,5.72,8.43,0.9,3.31
,,,,,,,,,,,,,,,,,,,,
D1612,6.01,0.98,3.07,5.73,1.4,4.19,3.35,3.77,3.49,10.06,2.65,4.19,6.15,17.88,3.63,10.47,5.73,5.17,0.7,1.4
,,,,,,,,,,,,,,,,,,,,
D1614,4.56,2.28,4.77,8.51,3.73,6.22,1.04,4.56,6.02,8.51,2.07,6.85,5.81,5.6,9.34,8.92,4.98,3.73,0.83,1.66
,,,,,,,,,,,,,,,,,,,,
D1616,3.88,0.9,7.16,6.27,3.58,7.16,0.6,10.75,8.96,7.46,2.09,8.36,2.09,2.69,3.28,7.16,5.07,8.36,0.6,3.58
,,,,,,,,,,,,,,,,,,,,
D1618,7.69,1.18,7.69,8.28,4.14,3.55,0.59,7.1,5.33,7.1,4.73,3.55,2.37,2.96,8.88,5.33,5.33,11.24,0,2.96
,,,,,,,,,,,,,,,,,,,,
D1620,11.03,0,4.14,9.66,4.83,3.45,2.76,5.52,4.83,13.1,3.45,2.76,6.21,4.14,3.45,4.83,6.21,7.59,0,2.07
,,,,,,,,,,,,,,,,,,,,
D1622,7.18,1.91,7.18,8.13,2.87,8.61,1.44,8.13,5.26,4.78,2.39,1.91,3.83,6.7,2.39,10.05,8.13,4.78,0,4.31
,,,,,,,,,,,,,,,,,,,,
D1624,6.76,0.68,3.04,6.42,3.04,5.41,3.72,8.78,4.05,11.82,2.7,3.72,4.73,6.08,4.73,8.78,6.76,5.74,0.34,2.7
,,,,,,,,,,,,,,,,,,,,
D1626,10.45,0,5.83,4.01,1.7,7.05,3.77,4.25,4.98,7.78,2.67,3.52,10.81,7.65,3.65,10.81,6.08,3.52,0.24,1.22
,,,,,,,,,,,,,,,,,,,,
D1628,5.65,0.28,6.69,7.44,2.64,3.95,1.79,5.74,7.44,7.91,2.17,9.32,4.52,3.2,5.27,11.77,7.91,4.33,0.56,1.41
,,,,,,,,,,,,,,,,,,,,
D1630,7.39,1.62,4.5,6.49,4.14,9.55,3.42,1.98,3.96,7.57,1.98,1.8,12.25,6.67,5.23,9.37,2.52,4.32,0.9,4.32
,,,,,,,,,,,,,,,,,,,,
D1632,7.03,7.03,7.03,2.34,3.91,3.12,3.91,2.34,8.59,14.84,2.34,6.25,3.91,2.34,8.59,7.81,3.12,1.56,0,3.91
,,,,,,,,,,,,,,,,,,,,
D1634,8.55,1.73,4.89,6.21,2.55,4.79,1.73,3.87,5.91,8.86,2.44,5.4,6.31,5.09,5.8,11.61,6.62,5.3,0.51,1.83
,,,,,,,,,,,,,,,,,,,,
D1636,10.84,0.96,4.36,7.23,2.66,6.91,2.34,5.74,2.66,11.37,1.59,2.55,6.27,4.46,9.78,4.46,5.63,6.16,0.96,3.08
,,,,,,,,,,,,,,,,,,,,
D1638,6.15,0,7.69,10.77,3.08,7.69,0,1.54,21.54,4.62,3.08,1.54,1.54,0,6.15,4.62,4.62,10.77,1.54,3.08
,,,,,,,,,,,,,,,,,,,,
D1640,5.78,1.11,7.01,7.68,4.24,6.7,1.78,4.98,11.43,7.44,2.52,5.04,4.3,3.38,4.06,7.31,4.98,6.45,1.11,2.7
,,,,,,,,,,,,,,,,,,,,
D1642,6.96,1.66,4.47,9.77,2.7,4.26,3.01,3.53,7.38,5.2,2.91,2.91,6.86,5.09,6.86,10.4,6.55,6.86,0.52,2.08
,,,,,,,,,,,,,,,,,,,,
D1644,8.12,1.94,4,7.27,2.42,5.21,2.79,4.12,4.97,8.48,2.18,3.88,6.55,6.42,5.33,10.06,5.94,5.7,1.09,3.52
,,,,,,,,,,,,,,,,,,,,
D1646,9.2,4,4,6,2.8,7.6,2.4,3.6,8,9.6,1.6,2.8,4.4,4,6.4,5.2,5.2,7.2,1.2,4.8
,,,,,,,,,,,,,,,,,,,,
D1648,8.3,1.19,5.53,5.93,3.95,2.77,2.77,3.95,7.91,7.91,2.77,5.14,3.16,11.07,4.74,6.32,5.53,6.32,1.19,3.56
,,,,,,,,,,,,,,,,,,,,
D1650,5.78,0.34,7.14,11.22,6.8,11.22,2.38,6.46,6.8,2.72,2.04,4.76,3.74,3.4,8.5,4.08,5.78,5.78,0,1.02
,,,,,,,,,,,,,,,,,,,,
D1652,8.91,1.01,6.48,6.07,4.05,7.49,1.62,7.29,6.48,7.09,3.04,3.44,3.44,3.04,6.48,6.48,5.47,6.28,2.63,3.24
,,,,,,,,,,,,,,,,,,,,
D1654,7.5,0.62,6.56,5.94,3.12,5.94,3.75,11.25,4.69,6.56,2.5,6.88,2.5,6.56,2.81,5.62,4.38,8.12,0,4.69
,,,,,,,,,,,,,,,,,,,,
D1656,5.92,0.59,5.33,9.47,5.33,2.37,2.96,7.1,12.43,10.06,2.37,5.33,2.37,6.51,2.96,5.33,6.51,4.14,0,2.96
,,,,,,,,,,,,,,,,,,,,
D1658,7.51,2.74,4.16,5.89,2.74,5.38,3.45,2.64,4.16,10.56,2.34,2.03,11.47,6.5,5.38,10.05,3.25,5.79,2.23,1.73
,,,,,,,,,,,,,,,,,,,,
D1660,6.21,0.75,6.42,5.78,2.68,5.46,2.57,5.57,8.99,7.82,2.78,3.96,5.78,4.07,5.14,11.35,6.64,5.25,0.54,2.25
,,,,,,,,,,,,,,,,,,,,
D1662,5.45,1.31,6.32,6.75,4.79,4.36,0.65,8.93,7.41,9.37,2.18,5.88,4.79,4.79,2.61,8.71,6.32,5.88,0.65,2.83
,,,,,,,,,,,,,,,,,,,,
D1664,6.15,1.54,3.85,7.69,3.08,4.62,2.31,10,9.23,9.23,2.31,6.92,1.54,9.23,6.15,4.62,3.08,6.15,0,2.31
,,,,,,,,,,,,,,,,,,,,
D1666,7.16,0.55,5.37,14.33,1.52,3.03,0.96,3.44,11.57,13.5,1.1,4.41,1.38,3.86,5.65,10.74,4.41,5.65,0.14,1.24
,,,,,,,,,,,,,,,,,,,,
D1668,5.08,2.34,6.09,5.89,4.97,5.08,2.64,6.09,7.41,8.83,3.96,4.26,3.76,3.45,5.28,6.4,6.19,6.5,1.02,4.77
,,,,,,,,,,,,,,,,,,,,
D1670,3.64,0,5.45,4.09,1.82,6.82,1.36,0.45,5.45,2.27,1.82,0.45,7.73,0.45,24.09,21.82,3.18,5,0,4.09
,,,,,,,,,,,,,,,,,,,,
D1672,6.51,1.93,4.58,6.75,4.66,5.23,2.89,6.75,7.72,8.28,2.97,5.95,5.14,3.94,4.34,5.39,5.39,5.47,0.88,5.23
,,,,,,,,,,,,,,,,,,,,
D1674,5.97,2.19,4.48,7.73,3.95,5.09,2.02,5.18,5.53,8.34,2.19,4.39,7.2,5.36,6.67,8.96,5.62,5.53,0.7,2.9
,,,,,,,,,,,,,,,,,,,,
D1676,9.5,1.36,2.26,9.5,0.9,4.52,3.17,6.79,4.98,15.84,4.07,5.43,4.07,7.24,5.88,2.71,2.71,5.43,0.45,3.17
,,,,,,,,,,,,,,,,,,,,
D1678,4.46,2.72,4.24,6.09,4.68,5.11,1.63,7.07,7.29,9.14,2.29,7.51,4.57,3.92,5.01,10.77,5.11,4.9,0.44,3.05
,,,,,,,,,,,,,,,,,,,,
D1680,8.21,0,6.72,5.22,2.99,4.48,0.75,5.97,14.18,5.97,2.24,2.24,3.73,2.99,5.22,12.69,8.21,5.97,0,2.24
,,,,,,,,,,,,,,,,,,,,
D1682,4.36,1.02,6.1,7.12,5.81,4.22,2.03,7.56,7.27,13.37,1.6,4.51,3.34,3.78,5.09,9.16,4.51,5.81,0.87,2.47
,,,,,,,,,,,,,,,,,,,,
D1684,8.06,1.29,4.52,5.48,4.52,6.13,2.26,9.35,3.87,10,1.94,4.52,3.87,5.81,5.81,4.52,9.35,4.52,1.29,2.9
,,,,,,,,,,,,,,,,,,,,
D1686,5.33,0,5.33,10.67,2.67,5.33,1.33,9.33,12,10,2.67,4,2.67,3.33,8,4,4.67,4,0.67,4
,,,,,,,,,,,,,,,,,,,,
D1688,16.04,1.42,5.66,8.02,1.42,6.6,1.42,4.72,1.42,8.49,2.36,0.94,4.72,2.83,10.85,4.25,5.19,10.85,0.47,2.36
,,,,,,,,,,,,,,,,,,,,
D1690,9.5,0.79,7.92,6.33,2.9,7.92,0.53,5.01,5.54,8.44,1.58,2.64,3.17,2.11,8.44,7.39,8.44,6.86,1.58,2.9
,,,,,,,,,,,,,,,,,,,,
D1692,6.11,1.48,5.91,7.49,3.15,7.19,2.27,4.93,12.51,8.77,2.27,3.35,4.73,3.15,3.05,7.88,4.83,6.5,1.38,3.05
,,,,,,,,,,,,,,,,,,,,
D1694,11.48,0.82,6.56,8.2,0.82,9.84,0.82,4.92,7.38,12.3,2.46,0.82,5.74,1.64,8.2,2.46,4.92,6.56,0.82,3.28
,,,,,,,,,,,,,,,,,,,,
D1696,5.65,2.91,6.9,8.06,4.16,4.41,4.24,6.07,6.9,6.98,2.08,4.9,3.99,3.33,6.48,5.9,5.24,6.57,1.16,4.07
,,,,,,,,,,,,,,,,,,,,
D1698,5.77,1.92,8.65,22.12,0.96,7.69,3.85,0.96,7.69,6.73,1.92,1.92,5.77,5.77,1.92,10.58,1.92,3.85,0,0
,,,,,,,,,,,,,,,,,,,,
D1700,10.4,0,4.8,6.4,0.8,4.8,1.6,4,4,16.8,2.4,4.8,4.8,8,6.4,8,7.2,2.4,1.6,0.8
,,,,,,,,,,,,,,,,,,,,
D1702,14.43,0.52,8.25,6.7,1.03,5.15,2.06,7.22,4.64,8.76,3.61,3.09,5.15,2.06,11.34,3.61,4.12,6.19,0.52,1.55
,,,,,,,,,,,,,,,,,,,,
D1704,6.52,4.11,4.82,8.5,3.68,4.39,5.88,3.82,8.07,7.44,1.91,3.33,5.31,4.18,5.74,8.29,4.39,5.24,0.57,3.82
,,,,,,,,,,,,,,,,,,,,
D1706,7.55,3.12,3.12,8.07,3.65,5.73,2.08,5.73,4.43,14.06,2.08,2.08,4.17,4.95,4.43,9.9,6.77,5.47,0.52,2.08
,,,,,,,,,,,,,,,,,,,,
D1708,10.06,1.78,4.73,5.92,3.55,4.73,4.14,2.96,3.55,12.43,5.33,4.73,4.73,4.73,5.33,8.28,5.33,5.92,0.59,1.18
,,,,,,,,,,,,,,,,,,,,
D1710,12.17,1.59,4.76,6.35,1.59,4.23,3.17,5.82,7.41,11.11,3.7,5.29,4.23,5.82,5.29,3.17,4.23,5.29,1.59,3.17
,,,,,,,,,,,,,,,,,,,,
D1712,6.51,1.49,5.56,7.33,4.61,4.61,2.85,3.39,5.7,7.87,2.99,4.61,6.51,6.92,6.65,10.85,4.48,4.61,0.27,2.17
,,,,,,,,,,,,,,,,,,,,
D1714,3.61,1.03,7.73,8.25,4.12,3.09,3.09,5.67,5.67,10.82,2.58,1.55,0.52,8.76,8.76,5.67,7.22,6.7,1.55,3.61
,,,,,,,,,,,,,,,,,,,,
D1716,5.31,0.98,6.15,6.71,7.27,3.5,2.1,7.27,9.23,10.21,1.12,7.27,1.4,6.15,4.48,5.59,5.31,5.59,0.7,3.64
,,,,,,,,,,,,,,,,,,,,
D1718,4.72,1.86,5.15,5.72,6.29,2.72,2.58,8.3,8.3,11.16,2.15,6.01,3.29,3.29,6.44,7.87,4.72,4.72,1.14,3.58
,,,,,,,,,,,,,,,,,,,,
D1720,4.11,2.62,5.61,4.86,5.05,3.18,2.06,5.98,5.05,12.52,1.68,6.36,8.6,4.49,4.67,8.6,7.66,4.86,0.56,1.5
,,,,,,,,,,,,,,,,,,,,
D1722,15.02,0,1.88,4.69,0.94,11.27,0.94,1.41,19.25,5.63,0.94,3.29,6.1,3.76,6.1,6.1,5.16,5.16,0.47,1.88
,,,,,,,,,,,,,,,,,,,,
D1724,10.23,1.54,3.14,4.82,1.46,4.17,1.97,3,6.87,8.04,2.27,7.02,9.21,5.85,4.09,13.3,7.02,3.95,0.07,1.97
,,,,,,,,,,,,,,,,,,,,
D1726,4.26,1.55,5.22,5.8,3.09,3.48,3.09,3.68,5.03,8.32,1.74,7.54,7.16,3.68,5.03,17.41,4.84,4.45,0.77,3.87
,,,,,,,,,,,,,,,,,,,,
D1728,20.88,1.16,7.7,4.39,1.69,10.94,1.31,0.85,0.62,7.7,0.85,0.85,12.4,1.46,10.71,5.86,2.7,4.85,1.62,1.46
,,,,,,,,,,,,,,,,,,,,
D1730,8.93,0,1.15,4.61,0.58,10.66,1.44,6.63,2.59,4.32,3.46,2.59,5.76,18.73,3.75,5.19,7.78,10.37,0,1.44
,,,,,,,,,,,,,,,,,,,,
D1732,6.64,1.66,5.65,6.64,4.98,5.65,2.33,4.32,3.32,10.63,2.66,2.99,3.65,7.97,8.31,6.98,5.32,5.98,1.99,2.33
,,,,,,,,,,,,,,,,,,,,
D1734,4.97,0.52,3.14,7.85,2.62,4.71,2.62,4.19,4.97,7.59,1.57,10.47,4.97,7.59,4.97,11.26,6.02,5.76,1.05,3.14
,,,,,,,,,,,,,,,,,,,,
D1736,4.31,0.48,5.43,7.99,5.59,3.99,1.76,11.66,10.54,9.27,1.12,7.03,2.4,1.6,3.67,8.15,3.51,6.55,0,4.95
,,,,,,,,,,,,,,,,,,,,
D1738,12.5,2.21,4.41,8.09,1.47,12.5,1.1,0.74,6.25,8.09,2.21,2.21,5.88,7.72,4.41,8.82,4.78,4.78,0.37,1.47
,,,,,,,,,,,,,,,,,,,,
D1740,8.75,2.56,3,3.98,4.15,6.63,3,2.03,3.53,12.99,1.06,1.86,7.69,4.15,11.04,6.63,5.12,7.77,1.59,2.47
,,,,,,,,,,,,,,,,,,,,
D1742,3.12,2.08,6.49,8.57,3.9,3.38,1.04,7.53,10.39,6.75,3.64,11.17,1.04,3.12,1.82,9.09,4.16,6.49,0.52,5.71
,,,,,,,,,,,,,,,,,,,,
D1744,5.59,2.23,5.03,5.59,3.91,6.15,0.56,7.82,5.59,7.26,3.35,7.82,3.35,3.91,7.26,7.26,3.91,7.26,1.12,5.03
,,,,,,,,,,,,,,,,,,,,
D1746,14.21,1.11,4.18,5.85,2.79,11.42,3.9,2.23,4.18,7.8,1.39,2.51,14.48,4.46,5.85,5.57,2.51,3.34,0,2.23
,,,,,,,,,,,,,,,,,,,,
D1748,3.53,1.96,5.69,8.43,3.4,2.88,2.22,6.8,11.57,7.84,2.22,6.14,3.46,4.77,4.84,11.18,5.36,4.97,0.98,1.76
,,,,,,,,,,,,,,,,,,,,
D1750,5.65,3.19,9.09,10.81,3.69,4.42,1.72,4.18,10.81,6.63,3.19,3.44,2.46,4.42,7.62,6.88,3.69,5.65,0.25,2.21
,,,,,,,,,,,,,,,,,,,,
D1752,10.92,1.68,5.88,0,5.04,8.4,1.68,6.72,4.2,10.92,2.52,1.68,5.04,7.56,7.56,5.04,4.2,9.24,1.68,0
,,,,,,,,,,,,,,,,,,,,
D1754,7.92,1.65,4.62,7.92,5.61,3.96,2.97,6.93,2.64,13.2,1.98,3.96,3.96,5.94,7.26,8.58,2.64,4.62,1.32,2.31
,,,,,,,,,,,,,,,,,,,,
D1756,3.16,1.58,4.74,5.79,5.53,6.84,2.37,7.63,7.11,10.79,1.84,4.74,4.47,4.21,6.05,4.74,5.26,6.32,1.84,5
,,,,,,,,,,,,,,,,,,,,
D1758,4.09,0.72,5.73,9.11,3.79,4.2,1.33,8.9,9.72,8.29,2.15,6.65,3.89,3.58,4.2,9.42,4.81,6.04,0.92,2.46
,,,,,,,,,,,,,,,,,,,,
D1760,4.6,0.42,6.28,9.21,2.51,5.44,1.26,9.21,9.62,14.64,2.93,5.86,2.51,2.09,6.28,4.18,4.18,4.6,0.84,3.35
,,,,,,,,,,,,,,,,,,,,
D1762,6.81,2.97,4.22,6.9,4.12,5.75,3.16,5.37,6.33,9.78,1.63,3.84,4.99,4.31,6.04,7,5.18,7.38,1.53,2.68
,,,,,,,,,,,,,,,,,,,,
D1764,6.33,0.67,6.33,9.67,6.67,4,1.33,4.33,7.67,7,1,3.33,8,2.67,4.67,11.33,5.33,6.33,2.33,1
,,,,,,,,,,,,,,,,,,,,
D1766,6.23,1.96,5.07,4.57,5.07,3.41,2.75,5.58,5.51,9.93,2.61,7.54,6.3,3.7,4.64,11.16,6.16,4.2,1.01,2.61
,,,,,,,,,,,,,,,,,,,,
D1768,7,0.58,6.12,7.29,4.08,5.25,1.17,6.71,8.16,9.04,1.75,4.08,2.92,5.54,7.87,9.91,5.25,5.83,0.29,1.17
,,,,,,,,,,,,,,,,,,,,
D1770,7.37,1.42,3.68,2.83,3.97,7.93,2.55,5.67,5.38,7.37,5.1,2.55,8.78,10.2,3.97,9.92,3.68,5.38,0,2.27
,,,,,,,,,,,,,,,,,,,,
D1772,13.71,1.61,4.44,6.85,3.63,6.05,1.61,3.63,1.21,10.48,2.02,1.61,3.63,3.63,10.48,8.87,4.84,8.87,1.21,1.61
,,,,,,,,,,,,,,,,,,,,
D1774,6.13,2.7,4.5,8.47,3.24,3.78,2.34,5.05,6.67,9.19,1.98,7.39,5.05,5.05,5.59,7.57,5.05,5.05,1.26,3.96
,,,,,,,,,,,,,,,,,,,,
D1776,6.45,0,5.81,8.39,4.52,5.81,0,9.03,9.68,12.26,1.94,3.87,1.94,1.29,7.74,5.81,3.87,9.68,0,1.94
,,,,,,,,,,,,,,,,,,,,
D1778,18.25,1.5,2.75,3.5,2.25,7.5,2,4.25,0.75,14,3,1,4.5,3.75,8.75,6.75,7,5.25,1,2.25
,,,,,,,,,,,,,,,,,,,,
D1780,11.81,1.06,8.83,7.34,1.91,4.36,1.91,2.66,4.04,8.3,1.28,1.49,8.19,4.15,7.55,11.91,6.28,4.68,1.06,1.17
,,,,,,,,,,,,,,,,,,,,
D1782,7.95,1.14,2.27,5.68,3.41,7.95,2.27,4.55,3.41,9.09,4.55,1.14,10.23,3.41,7.95,7.95,4.55,7.95,2.27,2.27
,,,,,,,,,,,,,,,,,,,,
D1784,6.42,2.75,3.67,9.17,4.59,0.92,0,9.17,11.01,8.26,3.67,8.26,2.75,1.83,6.42,4.59,6.42,5.5,0,4.59
,,,,,,,,,,,,,,,,,,,,
D1786,7.96,1.22,5.1,4.9,2.24,5.31,4.08,3.06,4.29,8.78,2.24,5.51,5.1,12.45,3.88,12.86,3.67,3.27,0.41,3.67
,,,,,,,,,,,,,,,,,,,,
D1788,4.64,0.36,2.14,8.57,8.21,3.93,2.86,6.07,6.07,8.21,2.5,5.36,3.21,5.71,5.36,6.79,7.14,6.43,0.36,6.07
,,,,,,,,,,,,,,,,,,,,
D1790,12.11,0.62,3.11,7.76,3.11,4.66,0.93,7.14,6.21,9.01,2.48,6.21,4.66,4.66,7.76,3.42,6.52,6.52,0.31,2.8
,,,,,,,,,,,,,,,,,,,,
D1792,8.7,2.46,4.54,8.32,3.59,4.73,3.02,2.84,6.62,7.94,2.84,4.35,8.13,3.97,6.99,8.32,4.16,6.24,1.13,1.13
,,,,,,,,,,,,,,,,,,,,
D1794,5,1,1,9,3,7,2,9,4,11,3,4,5,10,7,4,1,8,2,4
,,,,,,,,,,,,,,,,,,,,
D1796,4.58,1.31,5.45,7.19,6.54,6.1,0.87,7.63,6.75,7.41,2.18,5.23,5.01,5.88,4.36,6.97,4.79,4.36,1.31,6.1
,,,,,,,,,,,,,,,,,,,,
D1798,6.47,2.59,5.8,8.26,3.58,6.66,1.91,3.58,7.58,7.52,1.73,3.7,7.03,3.95,7.4,7.03,5.3,5.86,1.11,2.96
,,,,,,,,,,,,,,,,,,,,
D1800,6.26,0.27,7.48,10.34,2.45,6.53,0.95,3.95,10.2,6.12,2.45,7.21,5.44,2.72,5.99,7.48,5.99,5.58,0.54,2.04
,,,,,,,,,,,,,,,,,,,,
D1802,12.56,0.66,4.03,7.59,2.16,8.15,3.19,3.09,4.22,7.31,3.19,3.28,7.59,7.31,5.44,10.03,3.37,4.03,0.66,2.16
,,,,,,,,,,,,,,,,,,,,
D1804,5,2.37,6.32,7.11,2.89,6.32,1.84,5,7.89,10,2.63,5,5.53,4.47,5,10.53,3.95,5,1.05,2.11
,,,,,,,,,,,,,,,,,,,,
D1806,7.01,1.36,3.17,6.33,1.81,6.79,2.94,3.17,5.66,13.12,4.98,2.94,6.11,4.52,8.14,5.2,6.11,5.43,2.49,2.71
,,,,,,,,,,,,,,,,,,,,
D1808,11.11,1.39,4.17,9.03,4.86,6.25,6.94,2.78,2.78,11.81,3.47,4.17,2.78,4.86,6.94,2.08,3.47,6.25,1.39,3.47
,,,,,,,,,,,,,,,,,,,,
D1810,7.25,0.76,6.87,7.63,3.05,6.87,0.38,6.87,5.34,11.07,3.82,5.34,3.05,2.29,5.34,4.58,7.63,8.02,0.38,3.44
,,,,,,,,,,,,,,,,,,,,
D1812,3.78,0.34,5.5,8.93,6.87,2.75,3.78,7.22,8.59,15.12,2.06,7.56,2.41,3.09,3.09,8.93,2.75,3.44,0,3.78
,,,,,,,,,,,,,,,,,,,,
D1814,12.12,0,4.55,4.55,4.55,6.06,1.52,7.58,12.12,4.55,3.03,4.55,3.03,4.55,4.55,4.55,9.09,4.55,0,4.55
,,,,,,,,,,,,,,,,,,,,
D1816,10.03,1.08,5.09,8.02,3.24,6.79,1.85,5.09,9.1,11.57,1.54,3.7,3.86,3.55,4.78,3.86,4.78,6.94,1.7,3.4
,,,,,,,,,,,,,,,,,,,,
D1818,3.14,1.26,6.08,6.5,5.45,2.94,1.68,8.18,9.01,10.69,1.26,6.71,2.94,2.73,6.29,8.18,4.19,6.5,1.89,4.4
,,,,,,,,,,,,,,,,,,,,
D1820,4.8,0,7.81,11.71,2.4,5.71,1.5,3.3,15.02,6.61,2.7,4.5,6.01,3,8.41,9.01,1.8,2.7,0.6,2.4
,,,,,,,,,,,,,,,,,,,,
D1822,7.5,0,2.5,2.5,0,0,2.5,1.25,22.5,10,1.25,6.25,7.5,3.75,16.25,5,2.5,3.75,0,5
,,,,,,,,,,,,,,,,,,,,
